resolution,imgWidth,imgHeight,kernelSize,variant,blockX,blockY,gpuMs,totalMs,speedup
360p,480,360,11,CPU,N/A,N/A,52.7258,52.7258,1.0
360p,480,360,11,1ChNoConst,8,8,0.171943,0.982263,306.647
360p,480,360,11,1ChNoConst,16,16,0.15908,0.971914,331.442
360p,480,360,11,1ChNoConst,32,32,0.163665,0.983261,322.156
360p,480,360,11,1ChConst,8,8,0.116664,0.906785,451.946
360p,480,360,11,1ChConst,16,16,0.146495,0.923081,359.915
360p,480,360,11,1ChConst,32,32,0.161591,1.07531,326.293
360p,480,360,11,3ChGrid,8,8,0.139805,1.08705,377.137
360p,480,360,11,3ChGrid,16,16,0.122335,0.975689,430.994
360p,480,360,11,3ChGrid,32,32,0.147818,0.956508,356.694
360p,480,360,11,3ChNoGrid,8,8,0.126969,0.894207,415.264
360p,480,360,11,3ChNoGrid,16,16,0.1259,0.922648,418.791
360p,480,360,11,3ChNoGrid,32,32,0.110729,0.881999,476.171
360p,480,360,11,3Ch3Arrays,8,8,0.117878,0.99518,447.292
360p,480,360,11,3Ch3Arrays,16,16,0.128978,1.06488,408.797
360p,480,360,11,3Ch3Arrays,32,32,0.138599,1.14767,380.419
720p,1280,720,11,CPU,N/A,N/A,288.865,288.865,1.0
720p,1280,720,11,1ChNoConst,8,8,0.697658,3.50428,414.05
720p,1280,720,11,1ChNoConst,16,16,0.587526,3.31161,491.664
720p,1280,720,11,1ChNoConst,32,32,0.600495,3.35575,481.045
720p,1280,720,11,1ChConst,8,8,0.441916,2.79805,653.665
720p,1280,720,11,1ChConst,16,16,0.395017,2.75039,731.272
720p,1280,720,11,1ChConst,32,32,0.467326,2.8729,618.123
720p,1280,720,11,3ChGrid,8,8,0.420093,2.67885,687.622
720p,1280,720,11,3ChGrid,16,16,0.38594,2.6656,748.472
720p,1280,720,11,3ChGrid,32,32,0.459354,2.71202,628.851
720p,1280,720,11,3ChNoGrid,8,8,0.389087,2.65871,742.419
720p,1280,720,11,3ChNoGrid,16,16,0.320122,2.63174,902.359
720p,1280,720,11,3ChNoGrid,32,32,0.357135,2.56715,808.841
720p,1280,720,11,3Ch3Arrays,8,8,0.392443,3.22281,736.07
720p,1280,720,11,3Ch3Arrays,16,16,0.322383,3.24689,896.032
720p,1280,720,11,3Ch3Arrays,32,32,0.351525,3.19314,821.748
1080p,1920,1080,11,CPU,N/A,N/A,627.445,627.445,1.0
1080p,1920,1080,11,1ChNoConst,8,8,1.55798,5.11815,402.731
1080p,1920,1080,11,1ChNoConst,16,16,1.23372,4.77454,508.579
1080p,1920,1080,11,1ChNoConst,32,32,1.30607,5.08834,480.406
1080p,1920,1080,11,1ChConst,8,8,0.980179,4.17014,640.133
1080p,1920,1080,11,1ChConst,16,16,0.808281,3.89812,776.271
1080p,1920,1080,11,1ChConst,32,32,1.03638,4.13274,605.419
1080p,1920,1080,11,3ChGrid,8,8,0.943825,4.08187,664.79
1080p,1920,1080,11,3ChGrid,16,16,0.877612,4.16226,714.946
1080p,1920,1080,11,3ChGrid,32,32,1.03622,4.23757,605.513
1080p,1920,1080,11,3ChNoGrid,8,8,0.838203,3.97894,748.559
1080p,1920,1080,11,3ChNoGrid,16,16,0.680061,3.82909,922.63
1080p,1920,1080,11,3ChNoGrid,32,32,0.761762,3.83334,823.676
1080p,1920,1080,11,3Ch3Arrays,8,8,0.833613,6.02306,752.681
1080p,1920,1080,11,3Ch3Arrays,16,16,0.665606,5.5699,942.667
1080p,1920,1080,11,3Ch3Arrays,32,32,0.715839,5.6797,876.516
2K,2560,1440,11,CPU,N/A,N/A,1084.05,1084.05,1.0
2K,2560,1440,11,1ChNoConst,8,8,2.2834,7.99235,474.751
2K,2560,1440,11,1ChNoConst,16,16,1.98278,7.73599,546.732
2K,2560,1440,11,1ChNoConst,32,32,2.11628,7.80617,512.242
2K,2560,1440,11,1ChConst,8,8,1.77069,7.01605,612.218
2K,2560,1440,11,1ChConst,16,16,1.53218,6.81159,707.521
2K,2560,1440,11,1ChConst,32,32,1.74539,6.91576,621.094
2K,2560,1440,11,3ChGrid,8,8,1.59707,6.9129,678.772
2K,2560,1440,11,3ChGrid,16,16,1.44269,6.76361,751.405
2K,2560,1440,11,3ChGrid,32,32,1.76939,7.16619,612.667
2K,2560,1440,11,3ChNoGrid,8,8,1.41643,6.68314,765.336
2K,2560,1440,11,3ChNoGrid,16,16,1.18934,6.74747,911.472
2K,2560,1440,11,3ChNoGrid,32,32,1.2317,6.47915,880.12
