resolution,imgWidth,imgHeight,kernelSize,variant,blockX,blockY,gpuMs,totalMs,speedup
1080p,1920,1080,3,CPU,N/A,N/A,47.9057,47.9057,1.0
1080p,1920,1080,3,1ChNoConst,8,8,0.929525,5.34973,51.5378
1080p,1920,1080,3,1ChNoConst,16,16,0.522208,4.65687,91.7368
1080p,1920,1080,3,1ChNoConst,32,32,0.371079,4.33058,129.098
1080p,1920,1080,3,1ChConst,8,8,0.257137,4.0129,186.304
1080p,1920,1080,3,1ChConst,16,16,0.16602,4.11993,288.554
1080p,1920,1080,3,1ChConst,32,32,0.230194,4.11584,208.11
1080p,1920,1080,3,3ChGrid,8,8,0.216985,3.78755,220.779
1080p,1920,1080,3,3ChGrid,16,16,0.158674,3.6264,301.913
1080p,1920,1080,3,3ChGrid,32,32,0.265967,4.20277,180.119
1080p,1920,1080,3,3ChNoGrid,8,8,0.152018,3.85927,315.132
1080p,1920,1080,3,3ChNoGrid,16,16,0.118315,3.7396,404.898
1080p,1920,1080,3,3ChNoGrid,32,32,0.144649,3.86878,331.185
1080p,1920,1080,3,3Ch3Arrays,8,8,0.155345,5.64479,308.382
1080p,1920,1080,3,3Ch3Arrays,16,16,0.108778,6.22526,440.399
1080p,1920,1080,3,3Ch3Arrays,32,32,0.144646,6.20746,331.193
1080p,1920,1080,5,CPU,N/A,N/A,98.6513,98.6513,1.0
1080p,1920,1080,5,1ChNoConst,8,8,1.2308,5.3238,80.1522
1080p,1920,1080,5,1ChNoConst,16,16,0.301497,4.35845,327.205
1080p,1920,1080,5,1ChNoConst,32,32,0.386509,4.48209,255.237
1080p,1920,1080,5,1ChConst,8,8,0.333016,3.77991,296.236
1080p,1920,1080,5,1ChConst,16,16,0.258066,3.63992,382.272
1080p,1920,1080,5,1ChConst,32,32,0.343469,3.69515,287.221
1080p,1920,1080,5,3ChGrid,8,8,0.306819,3.5946,321.53
1080p,1920,1080,5,3ChGrid,16,16,0.264729,3.75458,372.65
1080p,1920,1080,5,3ChGrid,32,32,0.396489,3.88106,248.812
1080p,1920,1080,5,3ChNoGrid,8,8,0.257708,3.59799,382.803
1080p,1920,1080,5,3ChNoGrid,16,16,0.193867,3.56963,508.86
1080p,1920,1080,5,3ChNoGrid,32,32,0.225633,3.5041,437.22
1080p,1920,1080,5,3Ch3Arrays,8,8,0.255768,5.50198,385.706
1080p,1920,1080,5,3Ch3Arrays,16,16,0.196947,5.59336,500.904
1080p,1920,1080,5,3Ch3Arrays,32,32,0.215905,5.5264,456.921
1080p,1920,1080,11,CPU,N/A,N/A,615.823,615.823,1.0
1080p,1920,1080,11,1ChNoConst,8,8,1.37882,5.09382,446.632
1080p,1920,1080,11,1ChNoConst,16,16,1.21556,4.87643,506.617
1080p,1920,1080,11,1ChNoConst,32,32,1.20197,4.86316,512.346
1080p,1920,1080,11,1ChConst,8,8,0.961935,4.26036,640.192
1080p,1920,1080,11,1ChConst,16,16,0.807435,4.00812,762.691
1080p,1920,1080,11,1ChConst,32,32,1.01793,4.2885,604.979
1080p,1920,1080,11,3ChGrid,8,8,0.971013,4.18181,634.207
1080p,1920,1080,11,3ChGrid,16,16,0.808991,4.00539,761.224
1080p,1920,1080,11,3ChGrid,32,32,1.00132,4.50205,615.009
1080p,1920,1080,11,3ChNoGrid,8,8,0.832143,4.04877,740.045
1080p,1920,1080,11,3ChNoGrid,16,16,0.689684,3.87172,892.907
